,album,artist,track,tempo_val,tempo_text,mood_text,mood_score
69,Justin Timberlake,The 20/20 Experience 2 of 2 (Deluxe),Take Back The Night,50,"['Medium Tempo', 'Medium Slow']","['Cool', 'Wary / Defiant']",40.552075
70,Karen O,Her - Part II,The Moon Song,50,"['Medium Tempo', 'Medium Slow']","['Romantic', 'Lush / Romantic']",61.361325
72,Lady GaGa,ARTPOP,Aura,60,"['Medium Tempo', 'Medium']","['Melancholy', 'Wistful / Forlorn']",51.169325
77,Lady Gaga,iTunes Festival: London 2013 (Live) || www.RockDizMusic.com,Sex Dreams (Live),40,"['Slow Tempo', 'Slow']","['Sensual', 'Intimate']",81.0764
82,Lana Del Rey,Born to Die - The Paradise Edition,Born To Die,40,"['Slow Tempo', 'Slow']","['Peaceful', 'Delicate / Tranquil']",87.7684
83,Lana Del Rey,Born to Die - The Paradise Edition,Summertime Sadness,110,"['Medium Tempo', 'Medium Fast']","['Urgent', 'Dark Pop Intensity']",31.4002
85,Lauryn Hill,The Miseducation of Lauryn Hill,Ex-Factor,40,"['Slow Tempo', 'Slow']","['Sensual', 'Intimate']",81.0764
86,Lauryn Hill,The Miseducation of Lauryn Hill,Superstar,40,"['Slow Tempo', 'Slow']","['Sensual', 'Intimate']",81.0764
87,Lorde,Royals - Single,Royals,80,"['Medium Tempo', 'Medium']","['Cool', 'Wary / Defiant']",40.552075
88,Love Unlimited,The Best of Love Unlimited,Under The Influence Of Love,100,"['Medium Tempo', 'Medium Fast']","['Fiery', 'Passionate Rhythm']",42.724825
89,M83,Before the Dawn Heals Us,Don't save us from the flames,80,"['Medium Tempo', 'Medium']","['Rowdy', 'Driving Dark Groove']",45.813925
91,M83,Hurry Up/ We're Dreaming (Disc 1),Midnight City,50,"['Medium Tempo', 'Medium Slow']","['Sensual', 'Dreamy Pulse']",79.330075
92,M83,Hurry Up/ We're Dreaming (Disc 1),Wait,120,"['Medium Tempo', 'Medium Fast']","['Fiery', 'Fiery Groove']",35.067899999999995
93,M83,M83,I'm Getting Closer,60,"['Medium Tempo', 'Medium Slow']","['Brooding', 'Dreamy Brooding']",82.91402500000001
94,M83,Saturdays = Youth,Too Late,150,"['Fast Tempo', 'Fast']","['Defiant', 'Hard Positive Excitement']",42.048399999999994
99,Maxwell,Now,Lifetime,60,"['Medium Tempo', 'Medium Slow']","['Empowering', 'Dramatic Emotion']",58.767275
100,Merethe Soltvedt/ Thomas Bergersen,Sun,Interstellar Final Frontier,110,"['Medium Tempo', 'Medium Fast']","['Cool', 'Cool Confidence']",89.69165
102,Michael Jackson,XSCAPE,Love Never Felt So Good (Feat. Justim Timberlake),110,"['Medium Tempo', 'Medium Fast']","['Urgent', 'Dark Pop']",30.745849999999997
103,Natalie Maines,Mother,Take It On Faith,60,"['Medium Tempo', 'Medium']","['Empowering', 'Dramatic Emotion']",58.767275
106,PHOX,Kingfisher - Single,Kingfisher,60,"['Medium Tempo', 'Medium']","['Empowering', 'Dramatic Emotion']",58.767275
108,Rihanna,Unapologetic,Stay (Feat. Mikky Ekko),50,"['Medium Tempo', 'Medium Slow']","['Somber', 'Enigmatic / Mysterious']",31.47625
111,She & Him,Volume 3,Never Wanted Your Love,140,"['Fast Tempo', 'Fast']","['Defiant', 'Hard Positive Excitement']",42.048399999999994
112,Vampire Weekend,Modern Vampires of the City,Worship You,150,"['Fast Tempo', 'Fast']","['Excited', 'Euphoric Energy']",65.74325
114,Vampire Weekend,Vampire Weekend,A-Punk,80,"['Medium Tempo', 'Medium']","['Brooding', 'Alienated / Brooding']",48.1555
115,Various Artists,Nymphomaniac,Requiem Mass in D Minor_ Requiem Aeternam - W.A. Mozart,140,"['Fast Tempo', 'Fast']","['Energizing', 'Abstract Beat']",65.93215000000001
116,Various Artists,Nymphomaniac,Sonata for Violin and Piano in A Major - Cesar Frank,70,"['Medium Tempo', 'Medium']","['Stirring', 'Invigorating / Joyous']",100.120625
117,Wolfgang Amadeus Mozart,Amadeus Soundtrack,Requiem,100,"['Medium Tempo', 'Medium Fast']","['Serious', 'Thrilling']",67.11930000000001
